prompt_index,prompt,model_name,difficulty,category,tech_stack,module_tags
1,在services/prop_service.go中实现道具领用库存联动：当前CreatePropRequisition方法仅创建领用记录，未扣减道具的可用数量。请添加：领用时Prop.Available-=quantity（需校验Available>=quantity），归还时Available+=quantity。需要修改CreatePropRequisition和新增ReturnProp方法，使用GORM事务保证领用记录和库存变更的原子性,gpt-5.4,困难,代码生成,"Go,Gin,SQLite,HTML Templates","剧本存档,演员排班,道具领用,剧场档期,巡演行程"
1,在services/prop_service.go中实现道具领用库存联动：当前CreatePropRequisition方法仅创建领用记录，未扣减道具的可用数量。请添加：领用时Prop.Available-=quantity（需校验Available>=quantity），归还时Available+=quantity。需要修改CreatePropRequisition和新增ReturnProp方法，使用GORM事务保证领用记录和库存变更的原子性,gemini-3.1-p,困难,代码生成,"Go,Gin,SQLite,HTML Templates","剧本存档,演员排班,道具领用,剧场档期,巡演行程"
1,在services/prop_service.go中实现道具领用库存联动：当前CreatePropRequisition方法仅创建领用记录，未扣减道具的可用数量。请添加：领用时Prop.Available-=quantity（需校验Available>=quantity），归还时Available+=quantity。需要修改CreatePropRequisition和新增ReturnProp方法，使用GORM事务保证领用记录和库存变更的原子性,DeepSeek-V4-Pro,困难,代码生成,"Go,Gin,SQLite,HTML Templates","剧本存档,演员排班,道具领用,剧场档期,巡演行程"
1,在services/prop_service.go中实现道具领用库存联动：当前CreatePropRequisition方法仅创建领用记录，未扣减道具的可用数量。请添加：领用时Prop.Available-=quantity（需校验Available>=quantity），归还时Available+=quantity。需要修改CreatePropRequisition和新增ReturnProp方法，使用GORM事务保证领用记录和库存变更的原子性,Doubao-Seed-2.0-Code,困难,代码生成,"Go,Gin,SQLite,HTML Templates","剧本存档,演员排班,道具领用,剧场档期,巡演行程"
1,在services/prop_service.go中实现道具领用库存联动：当前CreatePropRequisition方法仅创建领用记录，未扣减道具的可用数量。请添加：领用时Prop.Available-=quantity（需校验Available>=quantity），归还时Available+=quantity。需要修改CreatePropRequisition和新增ReturnProp方法，使用GORM事务保证领用记录和库存变更的原子性,GLM-5.1,困难,代码生成,"Go,Gin,SQLite,HTML Templates","剧本存档,演员排班,道具领用,剧场档期,巡演行程"
2,services/theater_service.go的CreateTheaterSchedule方法存在Bug：未检查同一剧场在同一时间段是否已有档期安排，可能导致同一剧场被重复预订。请修复：添加时间区间重叠检测（new.StartTime<existing.EndTime AND new.EndTime>existing.StartTime），冲突时返回已有档期信息。同时未校验EndTime必须晚于StartTime,gpt-5.4,困难,Bug 修复 / 调试,"Go,Gin,SQLite,HTML Templates","剧本存档,演员排班,道具领用,剧场档期,巡演行程"
2,services/theater_service.go的CreateTheaterSchedule方法存在Bug：未检查同一剧场在同一时间段是否已有档期安排，可能导致同一剧场被重复预订。请修复：添加时间区间重叠检测（new.StartTime<existing.EndTime AND new.EndTime>existing.StartTime），冲突时返回已有档期信息。同时未校验EndTime必须晚于StartTime,gemini-3.1-p,困难,Bug 修复 / 调试,"Go,Gin,SQLite,HTML Templates","剧本存档,演员排班,道具领用,剧场档期,巡演行程"
2,services/theater_service.go的CreateTheaterSchedule方法存在Bug：未检查同一剧场在同一时间段是否已有档期安排，可能导致同一剧场被重复预订。请修复：添加时间区间重叠检测（new.StartTime<existing.EndTime AND new.EndTime>existing.StartTime），冲突时返回已有档期信息。同时未校验EndTime必须晚于StartTime,DeepSeek-V4-Pro,困难,Bug 修复 / 调试,"Go,Gin,SQLite,HTML Templates","剧本存档,演员排班,道具领用,剧场档期,巡演行程"
2,services/theater_service.go的CreateTheaterSchedule方法存在Bug：未检查同一剧场在同一时间段是否已有档期安排，可能导致同一剧场被重复预订。请修复：添加时间区间重叠检测（new.StartTime<existing.EndTime AND new.EndTime>existing.StartTime），冲突时返回已有档期信息。同时未校验EndTime必须晚于StartTime,Doubao-Seed-2.0-Code,困难,Bug 修复 / 调试,"Go,Gin,SQLite,HTML Templates","剧本存档,演员排班,道具领用,剧场档期,巡演行程"
2,services/theater_service.go的CreateTheaterSchedule方法存在Bug：未检查同一剧场在同一时间段是否已有档期安排，可能导致同一剧场被重复预订。请修复：添加时间区间重叠检测（new.StartTime<existing.EndTime AND new.EndTime>existing.StartTime），冲突时返回已有档期信息。同时未校验EndTime必须晚于StartTime,Qwen3.6-Plus,困难,Bug 修复 / 调试,"Go,Gin,SQLite,HTML Templates","剧本存档,演员排班,道具领用,剧场档期,巡演行程"
